,head,tail,type,source
0,degenerative diseases,trauma,interacts,758289018291541e503b4a8a99a3fb528931b213d1427f9f0fc8196320a38e36
1,degenerative diseases,tumors,interacts,758289018291541e503b4a8a99a3fb528931b213d1427f9f0fc8196320a38e36
2,trauma,tumors,interacts,758289018291541e503b4a8a99a3fb528931b213d1427f9f0fc8196320a38e36
3,inflammation,fibrosis,interacts,81405b245016890013e039994a544eb6d72895229d76c65e0dc98e0184da47ee
4,endothelial cells,thrombosis,associated,49e52a302953a24f440d1dfd273dc8d75c882b7ff32ceeb0ed62387e43ac69f6
5,CD31 antibody,vascular endothelial cells,associated,da722689fdeca5ac09dee39644b9e8a1fd670b914e061ca4d4abf3fc2e1b04e6
6,vascular endothelial cells,renal tubular epithelial cells,interacts,3d1f6ef9454f53003f793f6a766d6b93edd6554cd4e9e3f2a52e739ad7831d35
7,vascular endothelial cells,vascular endothelial,interacts,3d1f6ef9454f53003f793f6a766d6b93edd6554cd4e9e3f2a52e739ad7831d35
8,vascular endothelial cells,renal tubular epithelial cells,interacts,3d1f6ef9454f53003f793f6a766d6b93edd6554cd4e9e3f2a52e739ad7831d35
9,renal tubular epithelial cells,vascular endothelial,interacts,3d1f6ef9454f53003f793f6a766d6b93edd6554cd4e9e3f2a52e739ad7831d35
10,vascular endothelial,renal tubular epithelial cells,interacts,3d1f6ef9454f53003f793f6a766d6b93edd6554cd4e9e3f2a52e739ad7831d35
11,clinically,thrombosis,interacts,aab1ba2133c83e8755fba0ece2cb89b2b5c1ec816072e8a13ddc625aa503e6ca
